number,images,width,height,scale,length
1516,2715,313,507,1.6198083067092652,2737
1531,2729,276,511,1.8514492753623188,7241
1547,2744,284,494,1.7394366197183098,4410
1559,2756,293,511,1.7440273037542662,3097
1566,2763,305,511,1.6754098360655738,15181
1582,2790,316,511,1.6170886075949367,31926
1604,2817,287,511,1.7804878048780488,9044
1607,2820,289,511,1.768166089965398,8583
1632,2846,283,511,1.8056537102473498,21039
1642,2856,273,511,1.8717948717948718,19847
1654,2868,180,288,1.6,8494
1682,2896,332,511,1.5391566265060241,7439
1686,29,86,143,1.6627906976744187,3331
1688,2902,315,511,1.6222222222222222,5732
1691,2905,291,511,1.7560137457044673,3309
1704,2918,275,469,1.7054545454545456,4647
1711,2925,281,511,1.8185053380782918,13892
1715,2929,322,511,1.5869565217391304,8836
1721,2935,307,511,1.6644951140065147,8383
1757,387,65,101,1.5538461538461539,4389
1759,389,84,128,1.5238095238095237,7291
1775,405,70,113,1.6142857142857143,4488
1804,431,63,99,1.5714285714285714,3853
1808,435,51,83,1.6274509803921569,3100
1813,440,58,98,1.6896551724137931,3849
1816,443,66,110,1.6666666666666667,4111
1821,448,63,98,1.5555555555555556,4190
1869,499,65,102,1.5692307692307692,4434
1873,501,85,129,1.5176470588235293,7284
1888,517,69,112,1.6231884057971016,4489
1911,54,321,511,1.5919003115264798,4551
1912,540,85,128,1.5058823529411764,6631
1915,543,62,99,1.596774193548387,3815
1919,547,51,83,1.6274509803921569,3082
1925,552,58,98,1.6896551724137931,3825
1928,555,65,110,1.6923076923076923,4102
1954,579,83,126,1.5180722891566265,6672
1957,581,62,94,1.5161290322580645,3457
1961,586,113,183,1.6194690265486726,15837
1967,591,66,111,1.6818181818181819,5178
1968,592,95,157,1.6526315789473685,8865
1969,594,89,146,1.6404494382022472,7696
1978,602,65,102,1.5692307692307692,4411
1992,616,311,511,1.6430868167202572,5878
1993,617,262,419,1.599236641221374,2375
1994,618,305,511,1.6754098360655738,1938
2012,726,322,511,1.5869565217391304,4912
2018,731,298,511,1.7147651006711409,5948
2049,76,122,187,1.5327868852459017,5458
2056,766,247,455,1.8421052631578947,3265
2105,81,257,430,1.6731517509727627,7339
2107,811,330,508,1.5393939393939393,2589
2108,812,332,511,1.5391566265060241,3254
2109,813,295,462,1.5661016949152542,2933
2146,847,234,360,1.5384615384615385,2504
2149,85,208,373,1.7932692307692308,4178
2186,883,289,511,1.768166089965398,4847
2187,884,290,511,1.7620689655172415,6031
2198,894,233,426,1.8283261802575108,5461
2199,895,255,464,1.8196078431372549,3668
2205,90,179,309,1.7262569832402235,9787
2210,904,314,511,1.627388535031847,6177
2211,905,290,489,1.686206896551724,3264
2212,906,240,409,1.7041666666666666,2460
2226,919,229,415,1.8122270742358078,2797
2244,943,335,511,1.5253731343283583,8967
2253,951,253,448,1.7707509881422925,6658
2263,961,315,511,1.6222222222222222,15133
2282,980,337,511,1.5163204747774481,3336
